cube_id,poly_id,face,cube_x,cube_y,poly_x0,poly_y0,poly_x1,poly_y1,poly_x2,poly_y2,poly_x3,poly_y3,plot_x,plot_y,dim_x,dim_y,r,g,b,mask_filename,render_type,render_obj_id,scale,align_vert,align_horiz,panel_base_filename
12,12,east,-1,4,137,57,142,62,142,97,137,102,137,57,5,45,95,191,51,012.png,cube,11,100.0,center,center,11_012
14,13,west,1,4,177,62,182,57,182,102,177,97,177,63,5,43,159,191,255,013.png,cube,11,100.0,center,center,11_013
15,14,west,2,4,213,62,228,57,228,102,213,97,213,62,15,45,191,191,255,014.png,cube,11,100.0,center,center,11_014
16,15,west,3,4,248,62,273,57,273,102,248,97,248,62,25,45,223,191,255,015.png,cube,11,100.0,center,center,11_015
17,16,west,4,4,284,62,319,57,319,102,284,97,284,62,35,45,255,191,255,016.png,cube,11,100.0,center,center,11_016
13,20,south,0,4,137,57,182,57,182,102,137,102,137,57,45,45,127,191,153,020.png,cube,11,100.0,center,center,11_020
18,24,east,-3,3,0,48,46,57,46,102,0,112,0,48,46,64,31,127,51,024.png,cube,11,100.0,center,center,11_024
19,25,east,-2,3,63,48,91,57,91,102,63,112,63,48,28,64,63,127,51,025.png,cube,11,100.0,center,center,11_025
20,26,east,-1,3,128,48,137,57,137,102,128,112,128,48,9,64,95,127,51,026.png,cube,11,100.0,center,center,11_026
22,27,west,1,3,182,57,192,48,192,112,182,102,182,58,10,62,159,127,255,027.png,cube,11,100.0,center,center,11_027
23,28,west,2,3,228,57,256,48,256,112,228,102,228,57,28,64,191,127,255,028.png,cube,11,100.0,center,center,11_028
24,29,west,3,3,273,57,320,48,320,112,273,102,273,57,47,64,223,127,255,029.png,cube,11,100.0,center,center,11_029
21,32,south,0,3,128,48,192,48,192,112,128,112,128,48,64,64,127,127,153,032.png,cube,11,100.0,center,center,11_032
25,35,east,-2,2,0,26,63,48,63,112,0,133,0,26,63,107,63,63,51,035.png,cube,11,100.0,center,center,11_035
26,36,east,-1,2,106,26,128,48,128,112,106,133,106,26,22,107,95,63,51,036.png,cube,11,100.0,center,center,11_036
28,37,west,1,2,192,48,213,26,213,133,192,112,192,49,21,105,159,63,255,037.png,cube,11,100.0,center,center,11_037
29,38,west,2,2,256,48,319,26,319,133,256,112,256,48,63,107,191,63,255,038.png,cube,11,100.0,center,center,11_038
27,40,south,0,2,106,26,213,26,213,133,106,133,106,26,107,107,127,63,153,040.png,cube,11,100.0,center,center,11_040
30,42,east,-1,1,0,-80,106,26,106,133,0,240,0,0,106,160,95,0,51,042.png,cube,11,100.0,center,center,11_042
32,43,west,1,1,213,26,320,-80,320,240,213,133,213,26,107,160,159,0,255,043.png,cube,11,100.0,center,center,11_043
31,44,south,0,1,0,-80,320,-80,320,240,0,240,0,0,320,160,127,0,153,044.png,cube,11,100.0,center,center,11_044
4,4,south,0,5,142,62,177,62,177,97,142,97,142,62,35,35,127,255,153,004.png,cube,12,100.0,center,center,12_004
9,9,east,-4,4,0,57,35,62,35,97,0,102,0,57,35,45,0,191,51,009.png,cube,12,100.0,center,center,12_009
10,10,east,-3,4,46,57,71,62,71,97,46,102,46,57,25,45,31,191,51,010.png,cube,12,100.0,center,center,12_010
11,11,east,-2,4,91,57,106,62,106,97,91,102,91,57,15,45,63,191,51,011.png,cube,12,100.0,center,center,12_011
12,12,east,-1,4,137,57,142,62,142,97,137,102,137,57,5,45,95,191,51,012.png,cube,12,100.0,center,center,12_012
14,13,west,1,4,177,62,182,57,182,102,177,97,177,63,5,43,159,191,255,013.png,cube,12,100.0,center,center,12_013
15,14,west,2,4,213,62,228,57,228,102,213,97,213,62,15,45,191,191,255,014.png,cube,12,100.0,center,center,12_014
16,15,west,3,4,248,62,273,57,273,102,248,97,248,62,25,45,223,191,255,015.png,cube,12,100.0,center,center,12_015
17,16,west,4,4,284,62,319,57,319,102,284,97,284,62,35,45,255,191,255,016.png,cube,12,100.0,center,center,12_016
13,20,south,0,4,137,57,182,57,182,102,137,102,137,57,45,45,127,191,153,020.png,cube,12,100.0,center,center,12_020
18,24,east,-3,3,0,48,46,57,46,102,0,112,0,48,46,64,31,127,51,024.png,cube,12,100.0,center,center,12_024
19,25,east,-2,3,63,48,91,57,91,102,63,112,63,48,28,64,63,127,51,025.png,cube,12,100.0,center,center,12_025
20,26,east,-1,3,128,48,137,57,137,102,128,112,128,48,9,64,95,127,51,026.png,cube,12,100.0,center,center,12_026
22,27,west,1,3,182,57,192,48,192,112,182,102,182,58,10,62,159,127,255,027.png,cube,12,100.0,center,center,12_027
23,28,west,2,3,228,57,256,48,256,112,228,102,228,57,28,64,191,127,255,028.png,cube,12,100.0,center,center,12_028
24,29,west,3,3,273,57,320,48,320,112,273,102,273,57,47,64,223,127,255,029.png,cube,12,100.0,center,center,12_029
21,32,south,0,3,128,48,192,48,192,112,128,112,128,48,64,64,127,127,153,032.png,cube,12,100.0,center,center,12_032
25,35,east,-2,2,0,26,63,48,63,112,0,133,0,26,63,107,63,63,51,035.png,cube,12,100.0,center,center,12_035
26,36,east,-1,2,106,26,128,48,128,112,106,133,106,26,22,107,95,63,51,036.png,cube,12,100.0,center,center,12_036
28,37,west,1,2,192,48,213,26,213,133,192,112,192,49,21,105,159,63,255,037.png,cube,12,100.0,center,center,12_037
29,38,west,2,2,256,48,319,26,319,133,256,112,256,48,63,107,191,63,255,038.png,cube,12,100.0,center,center,12_038
27,40,south,0,2,106,26,213,26,213,133,106,133,106,26,107,107,127,63,153,040.png,cube,12,100.0,center,center,12_040
30,42,east,-1,1,0,-80,106,26,106,133,0,240,0,0,106,160,95,0,51,042.png,cube,12,100.0,center,center,12_042
32,43,west,1,1,213,26,320,-80,320,240,213,133,213,26,107,160,159,0,255,043.png,cube,12,100.0,center,center,12_043
31,44,south,0,1,0,-80,320,-80,320,240,0,240,0,0,320,160,127,0,153,044.png,cube,12,100.0,center,center,12_044
4,4,south,0,5,142,62,177,62,177,97,142,97,142,62,35,35,127,255,153,004.png,cube,13,100.0,center,center,13_004
9,9,east,-4,4,0,57,35,62,35,97,0,102,0,57,35,45,0,191,51,009.png,cube,13,100.0,center,center,13_009
10,10,east,-3,4,46,57,71,62,71,97,46,102,46,57,25,45,31,191,51,010.png,cube,13,100.0,center,center,13_010
11,11,east,-2,4,91,57,106,62,106,97,91,102,91,57,15,45,63,191,51,011.png,cube,13,100.0,center,center,13_011
12,12,east,-1,4,137,57,142,62,142,97,137,102,137,57,5,45,95,191,51,012.png,cube,13,100.0,center,center,13_012
14,13,west,1,4,177,62,182,57,182,102,177,97,177,63,5,43,159,191,255,013.png,cube,13,100.0,center,center,13_013
15,14,west,2,4,213,62,228,57,228,102,213,97,213,62,15,45,191,191,255,014.png,cube,13,100.0,center,center,13_014
16,15,west,3,4,248,62,273,57,273,102,248,97,248,62,25,45,223,191,255,015.png,cube,13,100.0,center,center,13_015
17,16,west,4,4,284,62,319,57,319,102,284,97,284,62,35,45,255,191,255,016.png,cube,13,100.0,center,center,13_016
13,20,south,0,4,137,57,182,57,182,102,137,102,137,57,45,45,127,191,153,020.png,cube,13,100.0,center,center,13_020
18,24,east,-3,3,0,48,46,57,46,102,0,112,0,48,46,64,31,127,51,024.png,cube,13,100.0,center,center,13_024
19,25,east,-2,3,63,48,91,57,91,102,63,112,63,48,28,64,63,127,51,025.png,cube,13,100.0,center,center,13_025
20,26,east,-1,3,128,48,137,57,137,102,128,112,128,48,9,64,95,127,51,026.png,cube,13,100.0,center,center,13_026
22,27,west,1,3,182,57,192,48,192,112,182,102,182,58,10,62,159,127,255,027.png,cube,13,100.0,center,center,13_027
23,28,west,2,3,228,57,256,48,256,112,228,102,228,57,28,64,191,127,255,028.png,cube,13,100.0,center,center,13_028
24,29,west,3,3,273,57,320,48,320,112,273,102,273,57,47,64,223,127,255,029.png,cube,13,100.0,center,center,13_029
21,32,south,0,3,128,48,192,48,192,112,128,112,128,48,64,64,127,127,153,032.png,cube,13,100.0,center,center,13_032
25,35,east,-2,2,0,26,63,48,63,112,0,133,0,26,63,107,63,63,51,035.png,cube,13,100.0,center,center,13_035
26,36,east,-1,2,106,26,128,48,128,112,106,133,106,26,22,107,95,63,51,036.png,cube,13,100.0,center,center,13_036
28,37,west,1,2,192,48,213,26,213,133,192,112,192,49,21,105,159,63,255,037.png,cube,13,100.0,center,center,13_037
29,38,west,2,2,256,48,319,26,319,133,256,112,256,48,63,107,191,63,255,038.png,cube,13,100.0,center,center,13_038
27,40,south,0,2,106,26,213,26,213,133,106,133,106,26,107,107,127,63,153,040.png,cube,13,100.0,center,center,13_040
30,42,east,-1,1,0,-80,106,26,106,133,0,240,0,0,106,160,95,0,51,042.png,cube,13,100.0,center,center,13_042
32,43,west,1,1,213,26,320,-80,320,240,213,133,213,26,107,160,159,0,255,043.png,cube,13,100.0,center,center,13_043
31,44,south,0,1,0,-80,320,-80,320,240,0,240,0,0,320,160,127,0,153,044.png,cube,13,100.0,center,center,13_044
4,4,south,0,5,142,62,177,62,177,97,142,97,142,62,35,35,127,255,153,004.png,cube,14,100.0,center,center,14_004
9,9,east,-4,4,0,57,35,62,35,97,0,102,0,57,35,45,0,191,51,009.png,cube,14,100.0,center,center,14_009
10,10,east,-3,4,46,57,71,62,71,97,46,102,46,57,25,45,31,191,51,010.png,cube,14,100.0,center,center,14_010
11,11,east,-2,4,91,57,106,62,106,97,91,102,91,57,15,45,63,191,51,011.png,cube,14,100.0,center,center,14_011
12,12,east,-1,4,137,57,142,62,142,97,137,102,137,57,5,45,95,191,51,012.png,cube,14,100.0,center,center,14_012
14,13,west,1,4,177,62,182,57,182,102,177,97,177,63,5,43,159,191,255,013.png,cube,14,100.0,center,center,14_013
15,14,west,2,4,213,62,228,57,228,102,213,97,213,62,15,45,191,191,255,014.png,cube,14,100.0,center,center,14_014
16,15,west,3,4,248,62,273,57,273,102,248,97,248,62,25,45,223,191,255,015.png,cube,14,100.0,center,center,14_015
17,16,west,4,4,284,62,319,57,319,102,284,97,284,62,35,45,255,191,255,016.png,cube,14,100.0,center,center,14_016
13,20,south,0,4,137,57,182,57,182,102,137,102,137,57,45,45,127,191,153,020.png,cube,14,100.0,center,center,14_020
18,24,east,-3,3,0,48,46,57,46,102,0,112,0,48,46,64,31,127,51,024.png,cube,14,100.0,center,center,14_024
19,25,east,-2,3,63,48,91,57,91,102,63,112,63,48,28,64,63,127,51,025.png,cube,14,100.0,center,center,14_025
20,26,east,-1,3,128,48,137,57,137,102,128,112,128,48,9,64,95,127,51,026.png,cube,14,100.0,center,center,14_026
22,27,west,1,3,182,57,192,48,192,112,182,102,182,58,10,62,159,127,255,027.png,cube,14,100.0,center,center,14_027
23,28,west,2,3,228,57,256,48,256,112,228,102,228,57,28,64,191,127,255,028.png,cube,14,100.0,center,center,14_028
24,29,west,3,3,273,57,320,48,320,112,273,102,273,57,47,64,223,127,255,029.png,cube,14,100.0,center,center,14_029
21,32,south,0,3,128,48,192,48,192,112,128,112,128,48,64,64,127,127,153,032.png,cube,14,100.0,center,center,14_032
25,35,east,-2,2,0,26,63,48,63,112,0,133,0,26,63,107,63,63,51,035.png,cube,14,100.0,center,center,14_035
26,36,east,-1,2,106,26,128,48,128,112,106,133,106,26,22,107,95,63,51,036.png,cube,14,100.0,center,center,14_036
28,37,west,1,2,192,48,213,26,213,133,192,112,192,49,21,105,159,63,255,037.png,cube,14,100.0,center,center,14_037
29,38,west,2,2,256,48,319,26,319,133,256,112,256,48,63,107,191,63,255,038.png,cube,14,100.0,center,center,14_038
27,40,south,0,2,106,26,213,26,213,133,106,133,106,26,107,107,127,63,153,040.png,cube,14,100.0,center,center,14_040
30,42,east,-1,1,0,-80,106,26,106,133,0,240,0,0,106,160,95,0,51,042.png,cube,14,100.0,center,center,14_042
32,43,west,1,1,213,26,320,-80,320,240,213,133,213,26,107,160,159,0,255,043.png,cube,14,100.0,center,center,14_043
31,44,south,0,1,0,-80,320,-80,320,240,0,240,0,0,320,160,127,0,153,044.png,cube,14,100.0,center,center,14_044
4,4,south,0,5,142,62,177,62,177,97,142,97,142,62,35,35,127,255,153,004.png,cube,15,100.0,center,center,15_004
9,9,east,-4,4,0,57,35,62,35,97,0,102,0,57,35,45,0,191,51,009.png,cube,15,100.0,center,center,15_009
10,10,east,-3,4,46,57,71,62,71,97,46,102,46,57,25,45,31,191,51,010.png,cube,15,100.0,center,center,15_010
11,11,east,-2,4,91,57,106,62,106,97,91,102,91,57,15,45,63,191,51,011.png,cube,15,100.0,center,center,15_011
12,12,east,-1,4,137,57,142,62,142,97,137,102,137,57,5,45,95,191,51,012.png,cube,15,100.0,center,center,15_012
14,13,west,1,4,177,62,182,57,182,102,177,97,177,63,5,43,159,191,255,013.png,cube,15,100.0,center,center,15_013
15,14,west,2,4,213,62,228,57,228,102,213,97,213,62,15,45,191,191,255,014.png,cube,15,100.0,center,center,15_014
16,15,west,3,4,248,62,273,57,273,102,248,97,248,62,25,45,223,191,255,015.png,cube,15,100.0,center,center,15_015
17,16,west,4,4,284,62,319,57,319,102,284,97,284,62,35,45,255,191,255,016.png,cube,15,100.0,center,center,15_016
13,20,south,0,4,137,57,182,57,182,102,137,102,137,57,45,45,127,191,153,020.png,cube,15,100.0,center,center,15_020
18,24,east,-3,3,0,48,46,57,46,102,0,112,0,48,46,64,31,127,51,024.png,cube,15,100.0,center,center,15_024
19,25,east,-2,3,63,48,91,57,91,102,63,112,63,48,28,64,63,127,51,025.png,cube,15,100.0,center,center,15_025
20,26,east,-1,3,128,48,137,57,137,102,128,112,128,48,9,64,95,127,51,026.png,cube,15,100.0,center,center,15_026
22,27,west,1,3,182,57,192,48,192,112,182,102,182,58,10,62,159,127,255,027.png,cube,15,100.0,center,center,15_027
23,28,west,2,3,228,57,256,48,256,112,228,102,228,57,28,64,191,127,255,028.png,cube,15,100.0,center,center,15_028
24,29,west,3,3,273,57,320,48,320,112,273,102,273,57,47,64,223,127,255,029.png,cube,15,100.0,center,center,15_029
21,32,south,0,3,128,48,192,48,192,112,128,112,128,48,64,64,127,127,153,032.png,cube,15,100.0,center,center,15_032
25,35,east,-2,2,0,26,63,48,63,112,0,133,0,26,63,107,63,63,51,035.png,cube,15,100.0,center,center,15_035
26,36,east,-1,2,106,26,128,48,128,112,106,133,106,26,22,107,95,63,51,036.png,cube,15,100.0,center,center,15_036
28,37,west,1,2,192,48,213,26,213,133,192,112,192,49,21,105,159,63,255,037.png,cube,15,100.0,center,center,15_037
29,38,west,2,2,256,48,319,26,319,133,256,112,256,48,63,107,191,63,255,038.png,cube,15,100.0,center,center,15_038
27,40,south,0,2,106,26,213,26,213,133,106,133,106,26,107,107,127,63,153,040.png,cube,15,100.0,center,center,15_040
30,42,east,-1,1,0,-80,106,26,106,133,0,240,0,0,106,160,95,0,51,042.png,cube,15,100.0,center,center,15_042
32,43,west,1,1,213,26,320,-80,320,240,213,133,213,26,107,160,159,0,255,043.png,cube,15,100.0,center,center,15_043
31,44,south,0,1,0,-80,320,-80,320,240,0,240,0,0,320,160,127,0,153,044.png,cube,15,100.0,center,center,15_044
4,4,south,0,5,142,62,177,62,177,97,142,97,142,62,35,35,127,255,153,004.png,cube,16,100.0,center,center,16_004
9,9,east,-4,4,0,57,35,62,35,97,0,102,0,57,35,45,0,191,51,009.png,cube,16,100.0,center,center,16_009
10,10,east,-3,4,46,57,71,62,71,97,46,102,46,57,25,45,31,191,51,010.png,cube,16,100.0,center,center,16_010
11,11,east,-2,4,91,57,106,62,106,97,91,102,91,57,15,45,63,191,51,011.png,cube,16,100.0,center,center,16_011
12,12,east,-1,4,137,57,142,62,142,97,137,102,137,57,5,45,95,191,51,012.png,cube,16,100.0,center,center,16_012
14,13,west,1,4,177,62,182,57,182,102,177,97,177,63,5,43,159,191,255,013.png,cube,16,100.0,center,center,16_013
15,14,west,2,4,213,62,228,57,228,102,213,97,213,62,15,45,191,191,255,014.png,cube,16,100.0,center,center,16_014
16,15,west,3,4,248,62,273,57,273,102,248,97,248,62,25,45,223,191,255,015.png,cube,16,100.0,center,center,16_015
17,16,west,4,4,284,62,319,57,319,102,284,97,284,62,35,45,255,191,255,016.png,cube,16,100.0,center,center,16_016
13,20,south,0,4,137,57,182,57,182,102,137,102,137,57,45,45,127,191,153,020.png,cube,16,100.0,center,center,16_020
18,24,east,-3,3,0,48,46,57,46,102,0,112,0,48,46,64,31,127,51,024.png,cube,16,100.0,center,center,16_024
19,25,east,-2,3,63,48,91,57,91,102,63,112,63,48,28,64,63,127,51,025.png,cube,16,100.0,center,center,16_025
20,26,east,-1,3,128,48,137,57,137,102,128,112,128,48,9,64,95,127,51,026.png,cube,16,100.0,center,center,16_026
22,27,west,1,3,182,57,192,48,192,112,182,102,182,58,10,62,159,127,255,027.png,cube,16,100.0,center,center,16_027
23,28,west,2,3,228,57,256,48,256,112,228,102,228,57,28,64,191,127,255,028.png,cube,16,100.0,center,center,16_028
24,29,west,3,3,273,57,320,48,320,112,273,102,273,57,47,64,223,127,255,029.png,cube,16,100.0,center,center,16_029
21,32,south,0,3,128,48,192,48,192,112,128,112,128,48,64,64,127,127,153,032.png,cube,16,100.0,center,center,16_032
25,35,east,-2,2,0,26,63,48,63,112,0,133,0,26,63,107,63,63,51,035.png,cube,16,100.0,center,center,16_035
26,36,east,-1,2,106,26,128,48,128,112,106,133,106,26,22,107,95,63,51,036.png,cube,16,100.0,center,center,16_036
28,37,west,1,2,192,48,213,26,213,133,192,112,192,49,21,105,159,63,255,037.png,cube,16,100.0,center,center,16_037
29,38,west,2,2,256,48,319,26,319,133,256,112,256,48,63,107,191,63,255,038.png,cube,16,100.0,center,center,16_038
27,40,south,0,2,106,26,213,26,213,133,106,133,106,26,107,107,127,63,153,040.png,cube,16,100.0,center,center,16_040
30,42,east,-1,1,0,-80,106,26,106,133,0,240,0,0,106,160,95,0,51,042.png,cube,16,100.0,center,center,16_042
32,43,west,1,1,213,26,320,-80,320,240,213,133,213,26,107,160,159,0,255,043.png,cube,16,100.0,center,center,16_043
31,44,south,0,1,0,-80,320,-80,320,240,0,240,0,0,320,160,127,0,153,044.png,cube,16,100.0,center,center,16_044
4,4,south,0,5,142,62,177,62,177,97,142,97,142,62,35,35,127,255,153,004.png,cube,17,100.0,center,center,17_004
9,9,east,-4,4,0,57,35,62,35,97,0,102,0,57,35,45,0,191,51,009.png,cube,17,100.0,center,center,17_009
10,10,east,-3,4,46,57,71,62,71,97,46,102,46,57,25,45,31,191,51,010.png,cube,17,100.0,center,center,17_010
11,11,east,-2,4,91,57,106,62,106,97,91,102,91,57,15,45,63,191,51,011.png,cube,17,100.0,center,center,17_011
12,12,east,-1,4,137,57,142,62,142,97,137,102,137,57,5,45,95,191,51,012.png,cube,17,100.0,center,center,17_012
14,13,west,1,4,177,62,182,57,182,102,177,97,177,63,5,43,159,191,255,013.png,cube,17,100.0,center,center,17_013
15,14,west,2,4,213,62,228,57,228,102,213,97,213,62,15,45,191,191,255,014.png,cube,17,100.0,center,center,17_014
16,15,west,3,4,248,62,273,57,273,102,248,97,248,62,25,45,223,191,255,015.png,cube,17,100.0,center,center,17_015
17,16,west,4,4,284,62,319,57,319,102,284,97,284,62,35,45,255,191,255,016.png,cube,17,100.0,center,center,17_016
13,20,south,0,4,137,57,182,57,182,102,137,102,137,57,45,45,127,191,153,020.png,cube,17,100.0,center,center,17_020
18,24,east,-3,3,0,48,46,57,46,102,0,112,0,48,46,64,31,127,51,024.png,cube,17,100.0,center,center,17_024
19,25,east,-2,3,63,48,91,57,91,102,63,112,63,48,28,64,63,127,51,025.png,cube,17,100.0,center,center,17_025
20,26,east,-1,3,128,48,137,57,137,102,128,112,128,48,9,64,95,127,51,026.png,cube,17,100.0,center,center,17_026
22,27,west,1,3,182,57,192,48,192,112,182,102,182,58,10,62,159,127,255,027.png,cube,17,100.0,center,center,17_027
23,28,west,2,3,228,57,256,48,256,112,228,102,228,57,28,64,191,127,255,028.png,cube,17,100.0,center,center,17_028
24,29,west,3,3,273,57,320,48,320,112,273,102,273,57,47,64,223,127,255,029.png,cube,17,100.0,center,center,17_029
21,32,south,0,3,128,48,192,48,192,112,128,112,128,48,64,64,127,127,153,032.png,cube,17,100.0,center,center,17_032
25,35,east,-2,2,0,26,63,48,63,112,0,133,0,26,63,107,63,63,51,035.png,cube,17,100.0,center,center,17_035
26,36,east,-1,2,106,26,128,48,128,112,106,133,106,26,22,107,95,63,51,036.png,cube,17,100.0,center,center,17_036
28,37,west,1,2,192,48,213,26,213,133,192,112,192,49,21,105,159,63,255,037.png,cube,17,100.0,center,center,17_037
29,38,west,2,2,256,48,319,26,319,133,256,112,256,48,63,107,191,63,255,038.png,cube,17,100.0,center,center,17_038
27,40,south,0,2,106,26,213,26,213,133,106,133,106,26,107,107,127,63,153,040.png,cube,17,100.0,center,center,17_040
30,42,east,-1,1,0,-80,106,26,106,133,0,240,0,0,106,160,95,0,51,042.png,cube,17,100.0,center,center,17_042
32,43,west,1,1,213,26,320,-80,320,240,213,133,213,26,107,160,159,0,255,043.png,cube,17,100.0,center,center,17_043
31,44,south,0,1,0,-80,320,-80,320,240,0,240,0,0,320,160,127,0,153,044.png,cube,17,100.0,center,center,17_044
4,4,south,0,5,146,70,172,70,172,97,146,97,150,75,19,21,127,255,153,004.png,sprite,20,75.0,bottom,center,20_004
13,20,south,0,4,142,68,176,68,176,102,142,102,147,75,25,26,127,191,153,020.png,sprite,20,75.0,bottom,center,20_020
21,32,south,0,3,136,64,184,64,184,112,136,112,142,73,36,39,127,127,153,032.png,sprite,20,75.0,bottom,center,20_032
27,40,south,0,2,119,52,199,52,199,133,119,133,129,67,60,65,127,63,153,040.png,sprite,20,75.0,bottom,center,20_040
31,44,south,0,1,40,0,280,0,280,240,40,240,100,45,120,115,127,0,153,044.png,sprite,20,75.0,bottom,center,20_044
4,4,south,0,5,150,79,168,79,168,97,150,97,154,85,10,11,127,255,153,004.png,sprite,21,50.0,bottom,center,21_004
13,20,south,0,4,148,79,170,79,170,102,148,102,153,86,13,15,127,191,153,020.png,sprite,21,50.0,bottom,center,21_020
21,32,south,0,3,144,80,176,80,176,112,144,112,150,90,20,22,127,127,153,032.png,sprite,21,50.0,bottom,center,21_032
27,40,south,0,2,132,79,186,79,186,133,132,133,142,96,34,36,127,63,153,040.png,sprite,21,50.0,bottom,center,21_040
31,44,south,0,1,80,80,240,80,240,240,80,240,110,130,100,30,127,0,153,044.png,sprite,21,50.0,bottom,center,21_044
4,4,south,0,5,150,79,168,79,168,97,150,97,150,85,16,11,127,255,153,004.png,sprite,22,50.0,bottom,center,22_004
13,20,south,0,4,148,79,170,79,170,102,148,102,148,86,21,15,127,191,153,020.png,sprite,22,50.0,bottom,center,22_020
21,32,south,0,3,144,80,176,80,176,112,144,112,144,90,30,22,127,127,153,032.png,sprite,22,50.0,bottom,center,22_032
27,40,south,0,2,132,79,186,79,186,133,132,133,132,96,50,36,127,63,153,040.png,sprite,22,50.0,bottom,center,22_040
31,44,south,0,1,80,80,240,80,240,240,80,240,80,130,150,30,127,0,153,044.png,sprite,22,50.0,bottom,center,22_044
4,4,south,0,5,142,62,177,62,177,97,142,97,151,62,20,9,127,255,153,004.png,sprite,23,100.0,top,center,23_004
13,20,south,0,4,137,57,182,57,182,102,137,102,149,57,25,12,127,191,153,020.png,sprite,23,100.0,top,center,23_020
21,32,south,0,3,128,48,192,48,192,112,128,112,144,48,36,16,127,127,153,032.png,sprite,23,100.0,top,center,23_032
27,40,south,0,2,106,26,213,26,213,133,106,133,133,26,60,27,127,63,153,040.png,sprite,23,100.0,top,center,23_040
31,44,south,0,1,0,-80,320,-80,320,240,0,240,320,160,1,1,127,0,153,044.png,sprite,23,100.0,top,center,23_044
4,4,south,0,5,150,79,168,79,168,97,150,97,154,85,10,11,127,255,153,004.png,sprite,24,50.0,bottom,center,24_004
13,20,south,0,4,148,79,170,79,170,102,148,102,153,86,13,15,127,191,153,020.png,sprite,24,50.0,bottom,center,24_020
